Age,Attrition,BusinessTravel,DailyRate,Department,EducationField,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears
29,No,Travel_Rarely,1389,Research & Development,Life Sciences,20,Female,3,Manufacturing Director,1,9980,10195,1,No,11,3,3,10
32,No,Travel_Rarely,334,Research & Development,Life Sciences,21,Male,1,Research Scientist,2,3298,15053,0,Yes,12,3,4,7
22,No,Non-Travel,1123,Research & Development,Medical,22,Male,1,Laboratory Technician,4,2935,7324,1,Yes,13,3,2,1
53,No,Travel_Rarely,1219,Sales,Life Sciences,23,Female,4,Manager,4,15427,22021,2,No,16,3,3,31
38,No,Travel_Rarely,371,Research & Development,Life Sciences,24,Male,1,Research Scientist,4,3944,4306,5,Yes,11,3,3,6
24,No,Non-Travel,673,Research & Development,Other,26,Female,2,Manufacturing Director,3,4011,8232,0,No,18,3,4,5
36,Yes,Travel_Rarely,1218,Sales,Life Sciences,27,Male,1,Sales Representative,1,3407,6986,7,No,23,4,2,10
34,No,Travel_Rarely,419,Research & Development,Life Sciences,28,Female,3,Research Director,2,11994,21293,0,No,11,3,3,13
21,No,Travel_Rarely,391,Research & Development,Life Sciences,30,Male,1,Research Scientist,4,1232,19281,1,No,14,3,4,0
34,Yes,Travel_Rarely,699,Research & Development,Medical,31,Male,1,Research Scientist,1,2960,17102,2,No,11,3,3,8
53,No,Travel_Rarely,1282,Research & Development,Other,32,Female,5,Manager,3,19094,10735,4,No,11,3,4,26
32,Yes,Travel_Frequently,1125,Research & Development,Life Sciences,33,Female,1,Research Scientist,1,3919,4681,1,Yes,22,4,2,10
42,No,Travel_Rarely,691,Sales,Marketing,35,Male,2,Sales Executive,2,6825,21173,0,No,11,3,4,10
44,No,Travel_Rarely,477,Research & Development,Medical,36,Female,3,Healthcare Representative,4,10248,2094,3,No,14,3,4,24
46,No,Travel_Rarely,705,Sales,Marketing,38,Female,5,Manager,1,18947,22822,3,No,12,3,4,22
33,No,Travel_Rarely,924,Research & Development,Medical,39,Male,1,Laboratory Technician,4,2496,6670,4,No,11,3,4,7
44,No,Travel_Rarely,1459,Research & Development,Other,40,Male,2,Healthcare Representative,4,6465,19121,2,Yes,13,3,4,9
30,No,Travel_Rarely,125,Research & Development,Medical,41,Male,1,Laboratory Technician,3,2206,16117,1,No,13,3,1,10
39,Yes,Travel_Rarely,895,Sales,Technical Degree,42,Male,2,Sales Representative,4,2086,3335,3,No,14,3,3,19
24,Yes,Travel_Rarely,813,Research & Development,Medical,45,Male,1,Research Scientist,4,2293,3020,2,Yes,16,3,1,6
43,No,Travel_Rarely,1273,Research & Development,Medical,46,Female,1,Research Scientist,3,2645,21923,1,No,12,3,4,6
50,Yes,Travel_Rarely,869,Sales,Marketing,47,Male,1,Sales Representative,3,2683,3810,1,Yes,14,3,3,3
35,No,Travel_Rarely,890,Sales,Marketing,49,Female,1,Sales Representative,4,2014,9687,1,No,13,3,1,2
36,No,Travel_Rarely,852,Research & Development,Life Sciences,51,Female,1,Research Scientist,1,3419,13072,9,Yes,14,3,4,6
33,No,Travel_Frequently,1141,Sales,Life Sciences,52,Female,2,Sales Executive,1,5376,3193,2,No,19,3,1,10
35,No,Travel_Rarely,464,Research & Development,Other,53,Male,1,Laboratory Technician,4,1951,10910,1,No,12,3,3,1
27,No,Travel_Rarely,1240,Research & Development,Life Sciences,54,Female,1,Laboratory Technician,1,2341,19715,1,No,13,3,4,1
26,Yes,Travel_Rarely,1357,Research & Development,Life Sciences,55,Male,1,Laboratory Technician,3,2293,10558,1,No,12,3,3,1
27,No,Travel_Frequently,994,Sales,Life Sciences,56,Male,3,Sales Executive,3,8726,2975,1,No,15,3,4,9
30,No,Travel_Frequently,721,Research & Development,Medical,57,Female,2,Laboratory Technician,4,4011,10781,1,No,23,4,4,12
41,Yes,Travel_Rarely,1360,Research & Development,Technical Degree,58,Female,5,Research Director,3,19545,16280,1,No,12,3,4,23
34,No,Non-Travel,1065,Sales,Marketing,60,Male,2,Sales Executive,3,4568,10034,0,No,20,4,3,10
37,No,Travel_Rarely,408,Research & Development,Life Sciences,61,Male,1,Research Scientist,2,3022,10227,4,No,21,4,1,8
46,No,Travel_Frequently,1211,Sales,Marketing,62,Male,2,Sales Executive,4,5772,20445,4,Yes,21,4,3,14
35,No,Travel_Rarely,1229,Research & Development,Life Sciences,63,Male,1,Laboratory Technician,4,2269,4892,1,No,19,3,4,1
48,Yes,Travel_Rarely,626,Research & Development,Life Sciences,64,Male,3,Laboratory Technician,3,5381,19294,9,Yes,13,3,4,23
28,Yes,Travel_Rarely,1434,Research & Development,Technical Degree,65,Male,1,Laboratory Technician,3,3441,11179,1,Yes,13,3,3,2
44,No,Travel_Rarely,1488,Sales,Marketing,68,Female,2,Sales Executive,1,5454,4009,5,Yes,21,4,3,9
35,No,Non-Travel,1097,Research & Development,Medical,70,Male,3,Healthcare Representative,1,9884,8302,2,Yes,13,3,3,10
26,No,Travel_Rarely,1443,Sales,Marketing,72,Female,2,Sales Executive,4,4157,21436,7,Yes,19,3,3,5
33,No,Travel_Frequently,515,Research & Development,Life Sciences,73,Female,3,Research Director,4,13458,15146,1,Yes,12,3,3,15
35,No,Travel_Frequently,853,Sales,Life Sciences,74,Male,3,Sales Executive,1,9069,11031,1,No,22,4,4,9
35,No,Travel_Rarely,1142,Research & Development,Medical,75,Female,1,Laboratory Technician,1,4014,16002,3,Yes,15,3,3,4
31,No,Travel_Rarely,655,Research & Development,Life Sciences,76,Male,2,Laboratory Technician,4,5915,9528,3,No,22,4,4,10
37,No,Travel_Rarely,1115,Research & Development,Life Sciences,77,Male,2,Manufacturing Director,3,5993,2689,1,No,18,3,3,7
32,No,Travel_Rarely,427,Research & Development,Medical,78,Male,2,Manufacturing Director,4,6162,10877,1,Yes,22,4,2,9
38,No,Travel_Frequently,653,Research & Development,Life Sciences,79,Female,2,Laboratory Technician,4,2406,5456,1,No,11,3,4,10
50,No,Travel_Rarely,989,Research & Development,Medical,80,Female,5,Research Director,3,18740,16701,5,Yes,12,3,4,29
59,No,Travel_Rarely,1435,Sales,Life Sciences,81,Female,3,Sales Executive,1,7637,2354,7,No,11,3,4,28
36,No,Travel_Rarely,1223,Research & Development,Technical Degree,83,Female,3,Healthcare Representative,3,10096,8202,1,No,13,3,2,17
55,No,Travel_Rarely,836,Research & Development,Medical,84,Female,4,Manager,3,14756,19730,2,Yes,14,3,3,21
36,No,Travel_Frequently,1195,Research & Development,Life Sciences,85,Male,2,Manufacturing Director,2,6499,22656,1,No,13,3,3,6
45,No,Travel_Rarely,1339,Research & Development,Life Sciences,86,Male,3,Research Scientist,1,9724,18787,2,No,17,3,3,25
35,No,Travel_Frequently,664,Research & Development,Medical,88,Male,1,Research Scientist,1,2194,5868,4,No,13,3,4,5
36,Yes,Travel_Rarely,318,Research & Development,Medical,90,Male,1,Research Scientist,3,3388,21777,0,Yes,17,3,1,2
59,No,Travel_Frequently,1225,Sales,Life Sciences,91,Female,2,Sales Executive,3,5473,24668,7,No,11,3,4,20
29,No,Travel_Rarely,1328,Research & Development,Life Sciences,94,Male,1,Research Scientist,2,2703,4956,0,No,23,4,4,6
31,No,Travel_Rarely,1082,Research & Development,Medical,95,Male,1,Research Scientist,2,2501,18775,1,No,17,3,2,1
32,No,Travel_Rarely,548,Research & Development,Life Sciences,96,Male,2,Research Scientist,2,6220,7346,1,No,17,3,2,10
36,No,Travel_Rarely,132,Research & Development,Life Sciences,97,Female,1,Laboratory Technician,4,3038,22002,3,No,12,3,2,5
31,No,Travel_Rarely,746,Research & Development,Life Sciences,98,Female,2,Manufacturing Director,4,4424,20682,1,No,23,4,4,11
35,No,Travel_Rarely,776,Sales,Marketing,100,Male,2,Sales Executive,1,4312,23016,0,No,14,3,2,16
45,No,Travel_Rarely,193,Research & Development,Other,101,Male,3,Research Director,1,13245,15067,4,Yes,14,3,2,17
37,No,Travel_Rarely,397,Research & Development,Medical,102,Male,3,Research Director,3,13664,25258,4,No,13,3,1,16
46,No,Travel_Rarely,945,Human Resources,Medical,103,Male,2,Human Resources,2,5021,10425,8,Yes,22,4,4,16
30,No,Travel_Rarely,852,Research & Development,Life Sciences,104,Male,2,Laboratory Technician,4,5126,15998,1,Yes,12,3,3,10
35,No,Travel_Rarely,1214,Research & Development,Medical,105,Male,1,Research Scientist,3,2859,26278,1,No,18,3,1,6
55,No,Travel_Rarely,111,Sales,Life Sciences,106,Male,3,Sales Executive,4,10239,18092,3,No,14,3,4,24
38,No,Non-Travel,573,Research & Development,Medical,107,Female,2,Research Scientist,4,5329,15717,7,Yes,12,3,4,17
34,No,Travel_Rarely,1153,Research & Development,Medical,110,Male,2,Manufacturing Director,2,4325,17736,1,No,15,3,3,5
56,No,Travel_Rarely,1400,Research & Development,Life Sciences,112,Male,3,Manufacturing Director,4,7260,21698,4,No,11,3,1,37
23,No,Travel_Rarely,541,Sales,Technical Degree,113,Male,1,Sales Representative,1,2322,9518,3,No,13,3,3,3
51,No,Travel_Rarely,432,Research & Development,Life Sciences,116,Male,1,Laboratory Technician,4,2075,18725,3,No,23,4,2,10
30,No,Travel_Rarely,288,Research & Development,Life Sciences,117,Male,2,Healthcare Representative,4,4152,15830,1,No,19,3,1,11
46,Yes,Travel_Rarely,669,Sales,Medical,118,Male,3,Sales Executive,4,9619,13596,1,No,16,3,4,9
40,No,Travel_Frequently,530,Research & Development,Life Sciences,119,Male,4,Healthcare Representative,2,13503,14115,1,No,22,4,4,22
51,No,Travel_Rarely,632,Sales,Marketing,120,Male,2,Sales Executive,4,5441,8423,0,Yes,22,4,4,11
30,No,Travel_Rarely,1334,Sales,Medical,121,Female,2,Sales Executive,2,5209,19760,1,Yes,12,3,2,11
46,No,Travel_Frequently,638,Research & Development,Medical,124,Male,3,Healthcare Representative,1,10673,3142,2,Yes,13,3,3,21
32,No,Travel_Rarely,1093,Sales,Medical,125,Male,2,Sales Executive,3,5010,24301,1,No,16,3,1,12
54,No,Travel_Rarely,1217,Research & Development,Technical Degree,126,Female,3,Research Director,3,13549,24001,9,No,12,3,1,16
24,No,Travel_Rarely,1353,Sales,Other,128,Female,2,Sales Executive,3,4999,17519,0,No,21,4,1,4
28,No,Non-Travel,120,Sales,Medical,129,Male,2,Sales Executive,3,4221,8863,1,No,15,3,2,5
58,No,Travel_Rarely,682,Sales,Medical,131,Male,4,Sales Executive,3,13872,24409,0,No,13,3,3,38
44,No,Non-Travel,489,Research & Development,Medical,132,Male,2,Laboratory Technician,2,2042,25043,4,No,12,3,3,17
37,Yes,Travel_Rarely,807,Human Resources,Human Resources,133,Male,1,Human Resources,1,2073,23648,4,Yes,22,4,4,7
32,No,Travel_Rarely,827,Research & Development,Life Sciences,134,Male,1,Research Scientist,1,2956,15178,1,No,13,3,4,1
20,Yes,Travel_Frequently,871,Research & Development,Life Sciences,137,Female,1,Laboratory Technician,4,2926,19783,1,Yes,18,3,2,1
34,No,Travel_Rarely,665,Research & Development,Other,138,Female,2,Research Scientist,3,4809,12482,1,No,14,3,3,16
37,No,Non-Travel,1040,Research & Development,Life Sciences,139,Male,2,Healthcare Representative,4,5163,15850,5,No,14,3,4,17
59,No,Non-Travel,1420,Human Resources,Human Resources,140,Female,5,Manager,4,18844,21922,9,No,21,4,4,30
50,No,Travel_Frequently,1115,Research & Development,Life Sciences,141,Female,5,Research Director,2,18172,9755,3,Yes,19,3,1,28
25,Yes,Travel_Rarely,240,Sales,Marketing,142,Male,2,Sales Executive,3,5744,26959,1,Yes,11,3,4,6
25,No,Travel_Rarely,1280,Research & Development,Medical,143,Male,1,Research Scientist,4,2889,26897,1,No,11,3,3,2
22,No,Travel_Rarely,534,Research & Development,Medical,144,Female,1,Laboratory Technician,4,2871,23785,1,No,15,3,3,1
51,No,Travel_Frequently,1456,Research & Development,Medical,145,Female,3,Healthcare Representative,1,7484,25796,3,No,20,4,3,23
34,Yes,Travel_Frequently,658,Research & Development,Life Sciences,147,Male,2,Laboratory Technician,3,6074,22887,1,Yes,24,4,4,9
54,No,Non-Travel,142,Human Resources,Human Resources,148,Female,4,Manager,4,17328,13871,2,Yes,12,3,3,23
24,No,Travel_Rarely,1127,Research & Development,Life Sciences,150,Male,1,Laboratory Technician,3,2774,13257,0,No,12,3,3,6
34,No,Travel_Rarely,1031,Research & Development,Life Sciences,151,Female,2,Research Scientist,2,4505,15000,6,No,15,3,3,12
37,No,Travel_Rarely,1189,Sales,Life Sciences,152,Male,3,Sales Executive,4,7428,14506,2,No,12,3,1,12
34,No,Travel_Rarely,1354,Research & Development,Medical,153,Female,3,Manager,1,11631,5615,2,No,12,3,4,14
36,No,Travel_Frequently,1467,Sales,Technical Degree,154,Female,3,Sales Executive,4,9738,22952,0,No,14,3,3,10
36,No,Travel_Rarely,922,Research & Development,Life Sciences,155,Female,1,Laboratory Technician,4,2835,2561,5,No,22,4,1,7
43,No,Travel_Frequently,394,Sales,Life Sciences,158,Male,4,Manager,4,16959,19494,1,Yes,12,3,4,25
30,No,Travel_Frequently,1312,Research & Development,Life Sciences,159,Male,1,Research Scientist,3,2613,22310,1,No,25,4,3,10
33,No,Non-Travel,750,Sales,Marketing,160,Male,2,Sales Executive,2,6146,15480,0,No,13,3,1,8
56,Yes,Travel_Rarely,441,Research & Development,Life Sciences,161,Female,1,Research Scientist,2,4963,4510,9,Yes,18,3,1,7
51,No,Travel_Rarely,684,Research & Development,Life Sciences,162,Male,5,Research Director,3,19537,6462,7,No,13,3,3,23
31,Yes,Travel_Rarely,249,Sales,Life Sciences,163,Male,2,Sales Executive,3,6172,20739,4,Yes,18,3,2,12
26,No,Travel_Rarely,841,Research & Development,Other,164,Female,1,Research Scientist,2,2368,23300,1,No,19,3,3,5
58,Yes,Travel_Rarely,147,Research & Development,Medical,165,Female,3,Healthcare Representative,4,10312,3465,1,No,12,3,4,40
19,Yes,Travel_Rarely,528,Sales,Marketing,167,Male,1,Sales Representative,3,1675,26820,1,Yes,19,3,4,0
22,No,Travel_Rarely,594,Research & Development,Technical Degree,169,Male,1,Laboratory Technician,4,2523,19299,0,No,14,3,3,3
49,No,Travel_Rarely,470,Research & Development,Medical,170,Female,2,Manufacturing Director,1,6567,5549,1,No,14,3,3,16
43,No,Travel_Frequently,957,Research & Development,Medical,171,Female,1,Research Scientist,3,4739,16090,4,No,12,3,4,18
50,No,Travel_Frequently,809,Sales,Marketing,174,Female,3,Sales Executive,4,9208,6645,4,No,11,3,4,16
31,Yes,Travel_Rarely,542,Sales,Life Sciences,175,Female,2,Sales Executive,3,4559,24788,3,Yes,11,3,3,4
41,No,Travel_Rarely,802,Sales,Life Sciences,176,Male,3,Sales Executive,3,8189,21196,3,Yes,13,3,3,12
26,No,Travel_Rarely,1355,Human Resources,Life Sciences,177,Female,1,Human Resources,3,2942,8916,1,No,23,4,4,8
36,No,Travel_Rarely,216,Research & Development,Medical,178,Male,2,Manufacturing Director,2,4941,2819,6,No,20,4,4,7
51,Yes,Travel_Frequently,1150,Research & Development,Life Sciences,179,Male,3,Manufacturing Director,4,10650,25150,2,No,15,3,4,18
39,No,Travel_Rarely,1329,Sales,Life Sciences,182,Female,2,Sales Executive,3,5902,14590,4,No,14,3,3,17
25,No,Travel_Rarely,959,Sales,Life Sciences,183,Male,2,Sales Executive,3,8639,24835,2,No,18,3,4,6
30,No,Travel_Rarely,1240,Human Resources,Human Resources,184,Male,2,Human Resources,4,6347,13982,0,Yes,19,3,4,12
32,Yes,Travel_Rarely,1033,Research & Development,Medical,190,Female,1,Laboratory Technician,1,4200,10224,7,No,22,4,1,10
45,No,Travel_Rarely,1316,Research & Development,Medical,192,Male,1,Research Scientist,4,3452,9752,5,No,13,3,2,9
38,No,Travel_Rarely,364,Research & Development,Technical Degree,193,Female,2,Research Scientist,3,4317,2302,3,Yes,20,4,2,19
30,No,Travel_Rarely,438,Research & Development,Life Sciences,194,Female,1,Research Scientist,3,2632,23910,1,No,14,3,3,5
32,No,Travel_Frequently,689,Sales,Medical,195,Male,2,Sales Executive,4,4668,22812,0,No,17,3,4,9
30,No,Travel_Rarely,201,Research & Development,Technical Degree,197,Female,1,Research Scientist,1,3204,10415,5,No,14,3,4,8
30,No,Travel_Rarely,1427,Research & Development,Medical,198,Male,1,Laboratory Technician,4,2720,11162,0,No,13,3,4,6
41,No,Travel_Frequently,857,Research & Development,Life Sciences,199,Male,4,Manager,1,17181,12888,4,No,13,3,2,21
41,No,Travel_Rarely,933,Research & Development,Life Sciences,200,Male,1,Laboratory Technician,1,2238,6961,2,No,21,4,4,7
19,No,Travel_Rarely,1181,Research & Development,Medical,201,Female,1,Laboratory Technician,2,1483,16102,1,No,14,3,4,1
40,No,Travel_Frequently,1395,Research & Development,Medical,202,Female,2,Research Scientist,2,5605,8504,1,No,11,3,1,20
35,No,Travel_Rarely,662,Sales,Marketing,204,Male,3,Sales Executive,2,7295,11439,1,No,13,3,1,10
53,No,Travel_Rarely,1436,Sales,Marketing,205,Male,2,Sales Representative,3,2306,16047,2,Yes,20,4,4,13
45,No,Travel_Rarely,194,Research & Development,Life Sciences,206,Male,2,Laboratory Technician,2,2348,10901,8,No,18,3,3,20
32,No,Travel_Frequently,967,Sales,Marketing,207,Female,3,Sales Executive,4,8998,15589,1,No,14,3,4,9
29,No,Non-Travel,1496,Research & Development,Technical Degree,208,Male,2,Manufacturing Director,3,4319,26283,1,No,13,3,1,10
51,No,Travel_Rarely,1169,Research & Development,Medical,211,Male,2,Manufacturing Director,3,6132,13983,2,No,17,3,3,10
58,No,Travel_Rarely,1145,Research & Development,Medical,214,Female,1,Research Scientist,2,3346,11873,4,Yes,20,4,2,9
40,No,Travel_Rarely,630,Sales,Marketing,215,Male,3,Sales Executive,4,10855,8552,7,No,11,3,1,15
34,No,Travel_Frequently,303,Sales,Marketing,216,Female,1,Sales Representative,3,2231,11314,6,No,18,3,4,6
22,No,Travel_Rarely,1256,Research & Development,Medical,217,Male,1,Research Scientist,4,2323,11992,1,No,24,4,1,2
27,No,Non-Travel,691,Research & Development,Medical,218,Male,1,Research Scientist,2,2024,5970,6,No,18,3,4,6
28,No,Travel_Rarely,440,Research & Development,Medical,221,Male,1,Research Scientist,4,2713,6672,1,No,11,3,3,5
57,No,Travel_Rarely,334,Research & Development,Life Sciences,223,Male,3,Healthcare Representative,4,9439,23402,3,Yes,16,3,2,12
27,No,Non-Travel,1450,Research & Development,Medical,224,Male,1,Research Scientist,3,2566,25326,1,Yes,15,3,4,1
50,No,Travel_Rarely,1452,Research & Development,Life Sciences,226,Female,5,Manager,2,19926,17053,3,No,15,3,2,21
41,No,Travel_Rarely,465,Research & Development,Life Sciences,227,Male,1,Research Scientist,3,2451,4609,4,No,12,3,1,13
30,No,Travel_Rarely,1339,Sales,Life Sciences,228,Female,3,Sales Executive,4,9419,8053,2,No,12,3,3,12
38,No,Travel_Rarely,702,Sales,Life Sciences,230,Female,2,Sales Executive,4,8686,12930,4,No,22,4,3,12
32,No,Travel_Rarely,120,Research & Development,Life Sciences,231,Male,1,Research Scientist,3,3038,12430,3,No,20,4,1,8
27,No,Travel_Rarely,1157,Research & Development,Technical Degree,233,Male,1,Research Scientist,2,3058,13364,0,Yes,16,3,4,6
19,Yes,Travel_Frequently,602,Sales,Technical Degree,235,Female,1,Sales Representative,1,2325,20989,0,No,21,4,1,1
36,No,Travel_Frequently,1480,Research & Development,Medical,238,Male,1,Laboratory Technician,2,2088,15062,4,No,12,3,3,13
30,No,Non-Travel,111,Research & Development,Medical,239,Male,2,Laboratory Technician,1,3072,11012,1,No,11,3,3,12
45,No,Travel_Rarely,1268,Sales,Life Sciences,240,Female,2,Sales Executive,1,5006,6319,4,Yes,11,3,1,9
56,No,Travel_Rarely,713,Research & Development,Life Sciences,241,Female,1,Research Scientist,1,4257,13939,4,Yes,18,3,3,19
33,No,Travel_Rarely,134,Research & Development,Life Sciences,242,Male,1,Research Scientist,4,2500,10515,0,No,14,3,1,4
19,Yes,Travel_Rarely,303,Research & Development,Life Sciences,243,Male,1,Laboratory Technician,4,1102,9241,1,No,22,4,3,1
46,No,Travel_Rarely,526,Sales,Marketing,244,Female,3,Sales Executive,1,10453,2137,1,No,25,4,3,24
38,No,Travel_Rarely,1380,Research & Development,Life Sciences,245,Female,1,Laboratory Technician,4,2288,6319,1,No,12,3,3,2
31,No,Travel_Rarely,140,Research & Development,Medical,246,Female,1,Research Scientist,4,3929,6984,8,Yes,23,4,3,7
34,No,Travel_Rarely,629,Research & Development,Medical,247,Female,1,Research Scientist,2,2311,5711,2,No,15,3,4,9
41,Yes,Travel_Rarely,1356,Sales,Marketing,248,Female,1,Sales Representative,2,3140,21728,1,Yes,22,4,4,4
50,No,Travel_Rarely,328,Research & Development,Medical,249,Male,1,Laboratory Technician,3,3690,3425,2,No,15,3,4,5
53,No,Travel_Rarely,1084,Research & Development,Medical,250,Female,2,Manufacturing Director,1,4450,26250,1,No,11,3,3,5
33,No,Travel_Rarely,931,Research & Development,Medical,252,Female,1,Research Scientist,2,2756,4673,1,No,13,3,4,8
40,No,Travel_Rarely,989,Research & Development,Medical,253,Female,5,Manager,3,19033,6499,1,No,14,3,2,21
55,No,Travel_Rarely,692,Research & Development,Medical,254,Male,5,Research Director,2,18722,13339,8,No,11,3,4,36
34,No,Travel_Frequently,1069,Research & Development,Life Sciences,256,Male,2,Manufacturing Director,3,9547,14074,1,No,17,3,3,10
51,No,Travel_Rarely,313,Research & Development,Medical,258,Female,4,Healthcare Representative,2,13734,7192,3,No,18,3,3,21
52,No,Travel_Rarely,699,Research & Development,Life Sciences,259,Male,5,Manager,3,19999,5678,0,No,14,3,1,34
27,No,Travel_Rarely,894,Research & Development,Medical,260,Female,1,Research Scientist,2,2279,11781,1,No,16,3,4,7
35,Yes,Travel_Rarely,556,Research & Development,Life Sciences,261,Male,2,Manufacturing Director,3,5916,15497,3,Yes,13,3,1,8
43,No,Non-Travel,1344,Research & Development,Medical,262,Male,1,Research Scientist,4,2089,5228,4,No,14,3,4,7
45,No,Non-Travel,1195,Research & Development,Medical,264,Male,4,Manager,4,16792,20462,9,No,23,4,4,22
37,No,Travel_Rarely,290,Research & Development,Life Sciences,267,Male,1,Research Scientist,1,3564,22977,1,Yes,12,3,1,8
35,No,Travel_Frequently,138,Research & Development,Medical,269,Female,2,Laboratory Technician,2,4425,15986,5,No,11,3,4,10
42,No,Non-Travel,926,Research & Development,Medical,270,Female,2,Manufacturing Director,3,5265,16439,2,No,16,3,2,11
38,No,Travel_Rarely,1261,Research & Development,Life Sciences,271,Male,2,Manufacturing Director,3,6553,7259,9,No,14,3,2,14
38,No,Travel_Rarely,1084,Research & Development,Technical Degree,273,Male,2,Manufacturing Director,4,6261,4185,3,No,18,3,1,9
27,No,Travel_Frequently,472,Research & Development,Technical Degree,274,Male,2,Manufacturing Director,1,4298,9679,5,No,19,3,3,6
49,No,Non-Travel,1002,Research & Development,Life Sciences,275,Male,2,Manufacturing Director,4,6804,23793,1,Yes,15,3,1,7
34,No,Travel_Frequently,878,Research & Development,Medical,277,Male,1,Research Scientist,3,3815,5972,1,Yes,17,3,4,5
40,No,Travel_Rarely,905,Research & Development,Medical,281,Male,2,Laboratory Technician,4,2741,16523,8,Yes,15,3,3,15
38,Yes,Travel_Rarely,1180,Research & Development,Medical,282,Male,2,Healthcare Representative,1,6673,11354,7,Yes,19,3,2,17
29,Yes,Travel_Rarely,121,Sales,Marketing,283,Female,3,Sales Executive,4,7639,24525,1,No,22,4,4,10
22,No,Travel_Rarely,1136,Research & Development,Life Sciences,284,Male,1,Research Scientist,2,2328,12392,1,Yes,16,3,1,4
36,No,Travel_Frequently,635,Research & Development,Medical,286,Female,1,Laboratory Technician,4,2153,7703,1,No,13,3,1,8
40,No,Non-Travel,1151,Research & Development,Life Sciences,287,Male,2,Healthcare Representative,4,4876,14242,9,No,14,3,4,5
46,No,Travel_Rarely,644,Research & Development,Medical,288,Male,3,Healthcare Representative,1,9396,12368,7,No,16,3,3,17
32,Yes,Travel_Rarely,1045,Sales,Medical,291,Male,3,Sales Executive,4,10400,25812,1,No,11,3,3,14
30,No,Non-Travel,829,Research & Development,Life Sciences,292,Male,3,Manufacturing Director,3,8474,20925,1,No,22,4,3,12
27,No,Travel_Frequently,1242,Sales,Life Sciences,293,Female,2,Sales Executive,3,9981,12916,1,No,14,3,4,7
51,No,Travel_Rarely,1469,Research & Development,Life Sciences,296,Male,3,Research Director,2,12490,15736,5,No,16,3,4,16
30,Yes,Travel_Rarely,1005,Research & Development,Technical Degree,297,Female,1,Research Scientist,1,2657,8556,5,Yes,11,3,3,8
41,No,Travel_Rarely,896,Sales,Life Sciences,298,Female,3,Manager,4,13591,14674,3,Yes,18,3,3,16
30,Yes,Travel_Frequently,334,Sales,Marketing,299,Female,2,Sales Executive,1,6696,22967,5,No,15,3,3,9
29,Yes,Travel_Rarely,992,Research & Development,Technical Degree,300,Male,1,Research Scientist,3,2058,19757,0,No,14,3,4,7
45,No,Non-Travel,1052,Sales,Medical,302,Female,3,Sales Executive,4,8865,16840,6,No,12,3,4,23
54,No,Travel_Rarely,1147,Sales,Marketing,303,Female,2,Sales Executive,1,5940,17011,2,No,14,3,4,16
36,No,Travel_Rarely,1396,Research & Development,Life Sciences,304,Male,2,Laboratory Technician,2,5914,9945,8,No,16,3,4,16
33,No,Travel_Rarely,147,Research & Development,Medical,305,Female,1,Research Scientist,2,2622,13248,6,No,21,4,4,7
